51608,267,365
51609,292,292
51609,292,476
51609,292,406
51609,292,177
51609,292,138
51609,292,555
51609,292,104
51609,292,556
51609,292,117
51609,292,21
51612,280,500
51612,280,53
51613,305,293
51613,305,336
51613,305,379
51613,305,422
51613,305,476
51613,305,479
51613,305,72
51613,305,90
51613,305,632
51614,281,225
51614,281,427
51614,281,380
51614,281,432
51614,281,23
51615,303,287
51615,303,250
51615,303,400
51615,303,213
51615,303,536
51630,266,280
51630,266,124
51630,266,190
51630,266,452
51630,266,92
51630,266,48
51630,266,53
51630,266,5
51630,266,617
51633,268,342
51633,268,238
51633,268,64
51633,268,27
51637,306,320
51637,306,221
51637,306,225
51637,306,218
51637,306,166
51637,306,546
51658,282,330
51658,282,235
51658,282,216
51658,282,201
51658,282,503
51658,282,99
51662,308,430
51662,308,185
51662,308,100
51662,308,595
51662,308,70
51662,308,31
51663,307,378
51663,307,475
51663,307,493
51663,307,110
51663,307,601
51663,307,11
51663,315,288
51665,311,314
51665,311,65
51671,299,275
51671,299,235
51671,299,386
51671,299,472
51671,299,407
51671,299,172
51671,299,525
51671,299,39
51673,313,300
51673,313,480
51673,313,496
51673,313,11
51673,313,596
51673,313,62
51673,313,32
51688,302,314
51688,302,258
51688,302,387
51688,302,438
51688,302,208
51688,302,164
51688,302,486
51688,302,535
51688,302,550
51688,302,69
51688,302,619
51689,312,415
51689,312,439
51689,312,434
51689,312,101
51689,312,66
51690,341,223
51690,341,203
51690,341,622
51690,341,633
51690,341,2
51691,342,279
51691,342,222
51692,339,408
51692,339,522
51692,339,523
51692,339,561
51692,339,573
51692,339,557
51692,339,636
51694,338,368
51694,338,222
51694,338,534
51694,338,538
51694,338,189
51694,338,560
51694,338,604
51694,338,616
51782,391,290
51782,391,509
51782,391,603
51782,391,38
51783,395,352
51783,395,304
51783,395,394
51783,395,445
51783,395,148
51783,395,512
51783,395,612
51788,401,288
51788,401,429
51788,401,255
51788,401,192
51788,401,123
51788,401,553
51788,401,595
51788,401,579
51788,401,17
51788,373,384
51788,373,447
51788,373,511
51788,373,525
51788,386,310
51788,386,355
51788,386,284
51788,386,274
51788,386,383
51788,386,137
51788,386,501
51788,386,180
51788,386,524
51788,386,167
51788,386,152
51788,386,593
51788,386,28
51789,398,270
51789,398,548
51789,398,455
51789,398,531
51789,398,637
51789,379,396
51789,379,286
51789,379,522
51789,379,73
51789,379,616
51789,379,40
51791,387,531
51791,387,161
51791,387,556
51791,387,35
51791,374,302
51791,374,335
51791,374,266
51791,374,388
51791,374,435
51791,374,246
51791,374,195
51791,374,219
51791,374,465
51791,374,136
51791,374,91
51791,374,521
51791,374,571
51791,374,65
51791,374,575
51791,387,328
51791,387,315
51791,387,246
51791,387,383
51791,387,181
